2022-05-17 07:05:68 INFO  HomePage :74 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (8a712bd3ba868f65f28869a59c029307)] -> link text: Log in]
2022-05-17 07:05:938 INFO  LoginPage :50 - Enter text into : [[ChromeDriver: chrome on WINDOWS (8a712bd3ba868f65f28869a59c029307)] -> id: Email]
2022-05-17 07:05:120 INFO  LoginPage :55 - Enter text into : [[ChromeDriver: chrome on WINDOWS (8a712bd3ba868f65f28869a59c029307)] -> name: Password]
2022-05-17 07:05:293 INFO  LoginPage :60 - Click on Login button : [[ChromeDriver: chrome on WINDOWS (8a712bd3ba868f65f28869a59c029307)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 07:05:753 INFO  LoginPage :65 - Getting text from : [[ChromeDriver: chrome on WINDOWS (8a712bd3ba868f65f28869a59c029307)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-17 07:05:875 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-17 07:05:814 INFO  HomePage :74 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (2a2dae9bbc7f1eecea8acc4dc786b9af)] -> link text: Log in]
2022-05-17 07:05:432 INFO  LoginPage :50 - Enter text into : [[ChromeDriver: chrome on WINDOWS (2a2dae9bbc7f1eecea8acc4dc786b9af)] -> id: Email]
2022-05-17 07:05:565 INFO  LoginPage :55 - Enter text into : [[ChromeDriver: chrome on WINDOWS (2a2dae9bbc7f1eecea8acc4dc786b9af)] -> name: Password]
2022-05-17 07:05:751 INFO  LoginPage :60 - Click on Login button : [[ChromeDriver: chrome on WINDOWS (2a2dae9bbc7f1eecea8acc4dc786b9af)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 07:05:528 INFO  HomePage :119 - Getting text from : [[ChromeDriver: chrome on WINDOWS (2a2dae9bbc7f1eecea8acc4dc786b9af)] -> xpath: //a[@class='ico-account']]
2022-05-17 07:05:708 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-17 07:05:765 INFO  HomePage :74 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (f0f7f6d69572877fb9993019baaea137)] -> link text: Log in]
2022-05-17 07:05:712 INFO  LoginPage :50 - Enter text into : [[ChromeDriver: chrome on WINDOWS (f0f7f6d69572877fb9993019baaea137)] -> id: Email]
2022-05-17 07:05:912 INFO  LoginPage :55 - Enter text into : [[ChromeDriver: chrome on WINDOWS (f0f7f6d69572877fb9993019baaea137)] -> name: Password]
2022-05-17 07:05:98 INFO  LoginPage :60 - Click on Login button : [[ChromeDriver: chrome on WINDOWS (f0f7f6d69572877fb9993019baaea137)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 07:05:814 INFO  HomePage :119 - Getting text from : [[ChromeDriver: chrome on WINDOWS (f0f7f6d69572877fb9993019baaea137)] -> xpath: //a[@class='ico-account']]
2022-05-17 07:05:863 INFO  HomePage :129 - Clicking on the logout button : [[ChromeDriver: chrome on WINDOWS (f0f7f6d69572877fb9993019baaea137)] -> xpath: //a[contains(text(),'Log out')]]
2022-05-17 07:05:141 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-17 07:05:259 INFO  HomePage :79 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (3cab4946afe0ec933467925a2b76a618)] -> xpath: //a[contains(text(),'Register')]]
2022-05-17 07:05:03 INFO  RegisterPage :93 - Getting text from : [[ChromeDriver: chrome on WINDOWS (3cab4946afe0ec933467925a2b76a618)] -> xpath: //h1[contains(text(),'Register')]]
2022-05-17 07:05:938 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-17 07:05:302 INFO  HomePage :79 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (477b4ab403f07a69c93e0a7295f5ffd6)] -> xpath: //a[contains(text(),'Register')]]
2022-05-17 07:05:32 INFO  RegisterPage :98 - Click on Male Gender radio button : [[ChromeDriver: chrome on WINDOWS (477b4ab403f07a69c93e0a7295f5ffd6)] -> xpath: //input[@id='gender-male']]
2022-05-17 07:05:138 INFO  RegisterPage :103 - Enter text into : [[ChromeDriver: chrome on WINDOWS (477b4ab403f07a69c93e0a7295f5ffd6)] -> xpath: //input[@id='FirstName']]
2022-05-17 07:05:245 INFO  RegisterPage :108 - Enter text into : [[ChromeDriver: chrome on WINDOWS (477b4ab403f07a69c93e0a7295f5ffd6)] -> xpath: //input[@id='LastName']]
2022-05-17 07:05:346 INFO  RegisterPage :113 - Enter text into : [[ChromeDriver: chrome on WINDOWS (477b4ab403f07a69c93e0a7295f5ffd6)] -> xpath: //select[@name='DateOfBirthDay']]
2022-05-17 07:05:450 INFO  RegisterPage :118 - Enter text into : [[ChromeDriver: chrome on WINDOWS (477b4ab403f07a69c93e0a7295f5ffd6)] -> xpath: //body/div[6]/div[3]/div[1]/div[1]/div[1]/div[2]/form[1]/div[1]/div[2]/div[4]/div[1]/select[2]]
2022-05-17 07:05:539 INFO  RegisterPage :123 - Enter text into : [[ChromeDriver: chrome on WINDOWS (477b4ab403f07a69c93e0a7295f5ffd6)] -> xpath: //select[@name='DateOfBirthYear']]
2022-05-17 07:05:641 INFO  RegisterPage :128 - Enter text into : [[ChromeDriver: chrome on WINDOWS (477b4ab403f07a69c93e0a7295f5ffd6)] -> xpath: //input[@id='Email']]
2022-05-17 07:05:763 INFO  RegisterPage :133 - Enter text into : [[ChromeDriver: chrome on WINDOWS (477b4ab403f07a69c93e0a7295f5ffd6)] -> xpath: //input[@id='Password']]
2022-05-17 07:05:896 INFO  RegisterPage :138 - Enter text into : [[ChromeDriver: chrome on WINDOWS (477b4ab403f07a69c93e0a7295f5ffd6)] -> xpath: //input[@id='ConfirmPassword']]
2022-05-17 07:05:21 INFO  RegisterPage :143 - Click on Register button : [[ChromeDriver: chrome on WINDOWS (477b4ab403f07a69c93e0a7295f5ffd6)] -> xpath: //button[@id='register-button']]
2022-05-17 07:05:436 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-17 07:05:43 INFO  HomePage :74 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (f9737279136997a7e664224e33dc6d29)] -> link text: Log in]
2022-05-17 07:05:656 INFO  LoginPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (f9737279136997a7e664224e33dc6d29)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-17 07:05:401 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-17 07:05:991 INFO  HomePage :74 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (f63bcb2ffc87f6803731e8eded1870bb)] -> link text: Log in]
2022-05-17 07:05:47 INFO  LoginPage :50 - Enter text into : [[ChromeDriver: chrome on WINDOWS (f63bcb2ffc87f6803731e8eded1870bb)] -> id: Email]
2022-05-17 07:05:240 INFO  LoginPage :55 - Enter text into : [[ChromeDriver: chrome on WINDOWS (f63bcb2ffc87f6803731e8eded1870bb)] -> name: Password]
2022-05-17 07:05:441 INFO  LoginPage :60 - Click on Login button : [[ChromeDriver: chrome on WINDOWS (f63bcb2ffc87f6803731e8eded1870bb)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 07:05:165 INFO  LoginPage :65 - Getting text from : [[ChromeDriver: chrome on WINDOWS (f63bcb2ffc87f6803731e8eded1870bb)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-17 07:05:158 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-17 07:05:684 INFO  HomePage :74 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (528b9dc84f3e22a4e2c3a76e23e81f56)] -> link text: Log in]
2022-05-17 07:05:491 INFO  LoginPage :50 - Enter text into : [[ChromeDriver: chrome on WINDOWS (528b9dc84f3e22a4e2c3a76e23e81f56)] -> id: Email]
2022-05-17 07:05:670 INFO  LoginPage :55 - Enter text into : [[ChromeDriver: chrome on WINDOWS (528b9dc84f3e22a4e2c3a76e23e81f56)] -> name: Password]
2022-05-17 07:05:800 INFO  LoginPage :60 - Click on Login button : [[ChromeDriver: chrome on WINDOWS (528b9dc84f3e22a4e2c3a76e23e81f56)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 07:05:38 INFO  LoginPage :65 - Getting text from : [[ChromeDriver: chrome on WINDOWS (528b9dc84f3e22a4e2c3a76e23e81f56)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-17 07:05:343 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-17 07:05:00 INFO  HomePage :74 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (76e1e0e8c1579da6e66432bb028b73f2)] -> link text: Log in]
2022-05-17 07:05:106 INFO  LoginPage :50 - Enter text into : [[ChromeDriver: chrome on WINDOWS (76e1e0e8c1579da6e66432bb028b73f2)] -> id: Email]
2022-05-17 07:05:306 INFO  LoginPage :55 - Enter text into : [[ChromeDriver: chrome on WINDOWS (76e1e0e8c1579da6e66432bb028b73f2)] -> name: Password]
2022-05-17 07:05:487 INFO  LoginPage :60 - Click on Login button : [[ChromeDriver: chrome on WINDOWS (76e1e0e8c1579da6e66432bb028b73f2)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 07:05:197 INFO  LoginPage :65 - Getting text from : [[ChromeDriver: chrome on WINDOWS (76e1e0e8c1579da6e66432bb028b73f2)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-17 07:05:163 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-17 07:05:281 INFO  HomePage :74 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (77a8b64e9f94690e8bc893f9b428cae5)] -> link text: Log in]
2022-05-17 07:05:473 INFO  LoginPage :50 - Enter text into : [[ChromeDriver: chrome on WINDOWS (77a8b64e9f94690e8bc893f9b428cae5)] -> id: Email]
2022-05-17 07:05:785 INFO  LoginPage :55 - Enter text into : [[ChromeDriver: chrome on WINDOWS (77a8b64e9f94690e8bc893f9b428cae5)] -> name: Password]
2022-05-17 07:05:26 INFO  LoginPage :60 - Click on Login button : [[ChromeDriver: chrome on WINDOWS (77a8b64e9f94690e8bc893f9b428cae5)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 07:05:893 INFO  HomePage :119 - Getting text from : [[ChromeDriver: chrome on WINDOWS (77a8b64e9f94690e8bc893f9b428cae5)] -> xpath: //a[@class='ico-account']]
2022-05-17 07:05:797 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-17 07:05:902 INFO  HomePage :74 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (624641d69cf920c64e83ad90b35784a7)] -> link text: Log in]
2022-05-17 07:05:52 INFO  LoginPage :50 - Enter text into : [[ChromeDriver: chrome on WINDOWS (624641d69cf920c64e83ad90b35784a7)] -> id: Email]
2022-05-17 07:05:433 INFO  LoginPage :55 - Enter text into : [[ChromeDriver: chrome on WINDOWS (624641d69cf920c64e83ad90b35784a7)] -> name: Password]
2022-05-17 07:05:691 INFO  LoginPage :60 - Click on Login button : [[ChromeDriver: chrome on WINDOWS (624641d69cf920c64e83ad90b35784a7)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-17 07:05:384 INFO  HomePage :119 - Getting text from : [[ChromeDriver: chrome on WINDOWS (624641d69cf920c64e83ad90b35784a7)] -> xpath: //a[@class='ico-account']]
2022-05-17 07:05:466 INFO  HomePage :129 - Clicking on the logout button : [[ChromeDriver: chrome on WINDOWS (624641d69cf920c64e83ad90b35784a7)] -> xpath: //a[contains(text(),'Log out')]]
2022-05-17 07:05:567 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-17 07:05:116 INFO  HomePage :79 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (f1e6878a0c9913760685285b5793fecc)] -> xpath: //a[contains(text(),'Register')]]
2022-05-17 07:05:524 INFO  RegisterPage :93 - Getting text from : [[ChromeDriver: chrome on WINDOWS (f1e6878a0c9913760685285b5793fecc)] -> xpath: //h1[contains(text(),'Register')]]
2022-05-17 07:05:976 INFO  ManageDriver :30 - Launching Chrome Browser
